Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Indonesia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Indonesian rupiah Data last updated: 09/2021,"2,922,294.60","3,112,907.00","3,360,564.70","3,613,950.00","3,911,022.10","4,216,785.60","4,414,970.10","3,835,427.90","3,865,772.20","4,058,235.60","4,206,096.20","4,395,348.40","4,605,462.30","4,837,157.20","5,112,516.00","5,393,753.00","5,735,987.80","6,162,847.00","6,452,609.80","6,864,133.10","7,287,635.30","7,727,083.40","8,156,497.80","8,564,866.60","8,982,517.10","9,434,613.40","9,912,928.10","10,425,851.90","10,949,037.80","10,722,442.70","11,065,458.05",2020
Islamic Republic of Iran,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. The accuracy of data before 1990, the time of the Iran-Iraq war, cannot be verified. Latest actual data: FY2020/21. the fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: GDP in current prices in U.S. dollars is calculated by using the official exchange rate of the Central Bank of Iran (CBI), except for the years 2011- 2015 when the applicable exchange rate is a weighted average of the CBI official exchange rate and the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: April/March. Iranian year, starts March 21 and ends March 20 Base year: FY2011/12. 2011/12=100 Chain-weighted: No Primary domestic currency: Iranian rial Data last updated: 08/2021","3,299,414.46","3,368,948.34","3,411,281.61","3,360,472.35","3,394,842.32","3,605,843.71","3,586,017.96","3,654,514.95","3,665,793.41","3,917,516.69","3,949,094.24","4,354,007.12","4,755,695.64","4,963,599.29","5,121,928.38","5,378,014.31","5,816,632.98","5,831,224.38","5,889,967.29","6,231,463.96","6,396,330.92","5,920,152.42","5,908,662.97","6,180,663.48","6,099,038.85","6,916,081.00","7,175,793.00","6,743,381.71","6,285,896.23","6,498,877.00","6,658,888.45",2021
Iraq,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: Other GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year rebased from 1988 to 2007 in end-2014. Chain-weighted: No Primary domestic currency: Iraqi dinar Data last updated: 08/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"35,529.20","44,323.40","42,399.10","39,613.90","36,525.21","66,398.21","101,845.26","103,551.40","109,389.94","111,455.81","120,626.52","124,702.85","132,687.03","142,700.22","162,587.53","174,990.18","176,282.47","180,754.02","208,227.03","201,149.50","210,609.94","222,848.46","187,858.12","194,709.86",2020
Ireland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2020 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Base year changes every year. Due to chain-linking, the base equals to 100.1 instead of 100. Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",77.941,80.731,82.599,87.467,95.858,104.573,115.812,125.955,139.209,152.293,160.372,169.828,174.939,186.811,197.526,207.364,218.366,208.569,197.931,201.404,203.556,203.45,206.028,223.98,280.371,286.096,311.673,339.817,356.527,377.444,426.647,2020
Israel,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new shekel Data last updated: 09/2021",415.927,445.686,462.494,494.919,542.698,575.401,597.983,623.085,645.329,702.712,703.435,702.061,710.131,745.037,776.018,820.848,870.936,901.064,911.363,963.17,"1,016.55","1,045.25","1,095.18","1,140.36","1,166.36","1,218.41","1,271.74","1,322.39","1,372.30","1,342.75","1,437.55",2020
Italy,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. Annual and quarterly data are on the work-adjusted basis. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021","1,432.20","1,442.55","1,430.51","1,460.18","1,499.36","1,518.35","1,546.14","1,574.13","1,599.72","1,660.30","1,692.70","1,697.00","1,699.35","1,723.55","1,737.64","1,768.76","1,795.06","1,777.79","1,683.91","1,712.76","1,724.87","1,673.46","1,642.65","1,642.57","1,655.36","1,676.77","1,704.73","1,720.79","1,725.73","1,572.64","1,663.39",2020
Jamaica,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 09/2021,625.48,642.854,657.065,669.384,686.261,687.879,676.591,668.405,674.961,680.201,688.912,693.561,718.991,728.51,735.02,756.329,767.252,760.975,735.021,724.471,734.8,731.12,732.757,736.968,743.373,754.511,759.636,773.518,781.023,702.54,734.688,2020
Japan,"Gross domestic product, constant prices",National currency,Billions,"Source: Cabinet Office of Japan via Haver database. Latest actual data: 2020 Notes: the recent revision didn't go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 09/2021","441,209.10","444,950.70","442,646.40","446,522.30","458,270.20","472,631.90","477,269.50","471,206.60","469,633.00","482,616.80","484,480.30","484,683.40","492,124.10","502,882.40","511,953.90","518,979.70","526,681.20","520,233.10","490,615.00","510,720.00","510,841.60","517,864.30","528,248.10","529,812.70","538,081.30","542,137.50","551,220.00","554,300.40","554,381.70","528,960.50","541,433.13",2020
Jordan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Jordanian dinar Data last updated: 08/2021,8.657,9.807,10.115,10.625,11.309,11.384,11.871,12.259,12.606,13.144,13.781,14.746,15.323,16.567,17.961,19.556,21.12,22.586,23.721,24.27,24.934,25.54,26.207,27.094,27.77,28.324,28.915,29.474,30.05,29.584,30.187,2019
Kazakhstan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Official GDP is calculated based on production, which does not match the total by expenditure's components. Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Kazakhstani tenge Data last updated: 08/2021",n/a,"5,625.62","5,108.07","4,465.48","4,099.31","4,119.81","4,189.85","4,110.24","4,221.22","4,634.90","5,260.61","5,776.15","6,313.33","6,919.41","7,590.59","8,402.78","9,150.63","9,452.60","9,566.03","10,264.35","11,023.92","11,553.06","12,246.25","12,760.59","12,913.72","13,055.77","13,591.05","14,148.29","14,784.96","14,400.55","14,873.87",2020
Kenya,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2021,"3,287.88","3,252.36","3,249.28","3,331.52","3,474.34","3,618.46","3,633.33","3,741.70","3,823.99","3,837.26","3,989.94","4,009.14","4,127.37","4,318.68","4,563.32","4,830.47","5,161.39","5,173.38","5,344.46","5,793.51","6,090.21","6,368.45","6,610.31","6,942.16","7,287.02","7,594.06","7,883.82","8,327.60","8,742.41","8,714.77","9,202.67",2020
Kiribati,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 08/2021,0.114,0.115,0.116,0.118,0.118,0.12,0.122,0.13,0.128,0.136,0.134,0.139,0.142,0.14,0.146,0.146,0.149,0.146,0.147,0.146,0.148,0.155,0.162,0.161,0.178,0.187,0.188,0.195,0.203,0.202,0.206,2019
Korea,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from before 1980 Primary domestic currency: South Korean won Data last updated: 09/2021","503,094.00","534,279.10","571,024.00","623,950.20","683,940.30","737,908.00","783,441.10","743,254.80","828,483.30","903,550.90","947,394.80","1,020,582.40","1,052,703.10","1,107,416.20","1,155,129.60","1,215,939.50","1,286,458.50","1,325,219.30","1,335,724.30","1,426,618.00","1,479,198.40","1,514,736.60","1,562,673.60","1,612,717.50","1,658,020.40","1,706,880.30","1,760,811.40","1,812,005.50","1,852,666.40","1,836,881.10","1,915,471.14",2020
Kosovo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.371,3.533,3.579,3.775,3.928,4.077,4.224,4.577,4.66,4.827,4.987,5.205,5.352,5.536,5.604,5.833,6.07,6.327,6.568,6.892,6.527,6.919,2020
Kuwait,"Gross domestic product, constant prices",National currency,Billions,"Source: Ministry of Planning and Central Statistical Office Latest actual data: 2020. Preliminary numbers Notes: Real GDP data for the period 1990-2009 have been adjusted by desk economist to account for breaks in the source data. The breaks are associated with changes in the base year from 1984 to 1995, to 2000, and subsequently to 2010. Pre-revision data exist for the period prior to 1995. The nominal data were revised back to 1995. The latest revision of nominal and real data go to 2010. Using the pre-revision data, desk economist recalculated the constant price data for the period prior to 1995 so that y-o-y change of each component remains unchanged. A similar adjustment was made to the period 1995-2009. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Nominal data has been revised by country authorities, therefore, deflators do not add to 100 until the Real figures get revised. Chain-weighted: No Primary domestic currency: Kuwaiti dinar Data last updated: 09/2021",7.053,12.893,17.422,18.923,19.239,19.354,19.837,20.561,20.194,21.141,21.185,21.824,25.607,28.363,31.221,33.569,35.58,36.463,33.882,33.079,36.264,38.667,39.112,39.307,39.54,40.697,38.78,39.724,39.504,36.006,36.347,2020
Kyrgyz Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Kyrgyz som Data last updated: 08/2021,n/a,96.667,84.096,67.439,63.781,68.3,75.072,76.665,79.468,83.793,88.252,88.237,94.44,101.077,100.899,104.03,112.917,121.461,124.966,124.377,131.785,131.669,146.042,151.918,157.806,164.649,172.453,178.418,186.627,170.546,174.125,2020
Lao P.D.R.,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Lao kip Data last updated: 07/2021,"20,242.26","21,659.10","22,929.80","24,800.90","26,548.12","28,377.93","30,337.98","31,636.24","32,910.54","35,026.27","36,697.76","39,196.34","41,618.35","44,609.38","47,705.20","51,976.50","56,057.41","60,442.39","64,898.80","70,102.55","75,701.26","81,609.86","88,160.11","94,870.83","101,767.55","108,914.78","116,376.66","123,695.63","129,449.95","128,886.89","131,543.74",2020
Latvia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",n/a,12.431,11.014,11.256,11.021,11.305,12.307,13.087,13.446,14.208,15.107,16.177,17.541,19.032,21.074,23.6,25.966,25.102,21.522,20.574,21.905,22.836,23.364,23.615,24.561,25.144,25.961,27.006,27.553,26.555,27.76,2020
Lebanon,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: We use a weighted average of the official and parallel exchange rates for 2019-21. Starting in 2022, the exchange rate applied throughout the series is the parallel market exchange rate. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Chain-weighted: Yes, from 2010. Official quarterly data are based on 2015; annual on 2010. We re-base Quarterly data in our files. Primary domestic currency: Lebanese pound Data last updated: 09/2021","22,128.93","23,123.60","24,742.18","26,728.92","28,464.37","29,613.83","32,631.45","33,904.07","33,632.84","34,002.80","35,328.91","36,530.09","37,151.11","39,937.44","40,217.00","40,840.00","44,643.00","48,691.00","53,674.00","57,954.00","58,457.00","59,942.00","62,242.53","63,769.41","64,173.17","65,178.36","65,710.03","64,618.95","59,912.00","44,934.00",n/a,2019
Lesotho,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2018/19. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2012/13 Chain-weighted: No Primary domestic currency: Lesotho loti Data last updated: 08/2021,9.622,10.22,10.614,11.089,11.401,11.962,12.378,12.552,12.752,13.377,13.815,14.033,14.604,14.954,15.42,16.101,16.905,17.54,17.604,18.502,19.438,20.438,20.8,21.23,21.921,22.335,21.731,21.51,21.178,20.035,20.599,2019
Liberia,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Estimates. IMF STA preliminary survey; Publish growth rate from 2000 only, no data prior to 1999 due to civil war in the country. Latest actual data: 2016 Notes: Real GDP are in billions of U.S. dollars. The National Accounts data are staff estimates and are based on the preliminary results of the 2016 Household Income and Expenditure Survey, and of an ongoing STA technical assistance on National Accounts. The pre-2016 data were spliced with a constant ratio. These staff estimates will be replaced once official data become available. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. Official base year is 1992. Chain-weighted: No Primary domestic currency: US dollar Data last updated: 08/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.046,2.102,2.195,1.559,1.621,1.716,1.862,2.106,2.234,2.35,2.499,2.692,2.918,3.176,3.198,3.199,3.146,3.224,3.264,3.182,3.088,3.198,2016
Libya,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank. Outdated; last submitted by authorities for 2014 Latest actual data: 2014 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Libyan dinar Data last updated: 09/2021,66.18,64.385,61.962,63.161,55.331,56.787,56.443,56.23,56.49,58.569,57.536,56.984,64.402,67.275,75.261,80.153,85.246,69.798,67.712,69.863,23.294,52.344,33.066,15.536,13.512,12.514,20.525,24.194,27.385,11.031,24.618,2014
Lithuania,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2020 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005 Primary domestic currency: Euro Data last updated: 09/2021",n/a,n/a,n/a,n/a,16.133,16.978,18.389,19.764,19.538,20.26,21.583,23.04,25.474,27.148,29.247,31.415,34.904,35.817,30.502,31.006,32.878,34.142,35.354,36.605,37.346,38.287,39.926,41.498,43.298,42.921,44.922,2020
Luxembourg,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000. Primary domestic currency: Euro Data last updated: 08/2021",20.466,20.838,21.714,22.543,22.866,23.213,24.591,26.187,28.392,30.789,31.569,32.774,33.309,34.512,35.607,37.45,40.579,40.06,38.314,40.178,41.198,41.053,42.553,44.382,46.293,48.41,49.282,50.815,51.983,51.3,54.128,2020
Macao SAR,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from 2001 Primary domestic currency: Macanese pataca Data last updated: 09/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,122.749,133.687,149.249,188.994,204.257,231.609,265.137,274.129,277.622,347.368,422.457,461.501,511.126,500.656,393.052,390.401,429.372,457.136,445.119,194.48,234.222,2020
Madagascar,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 data are preliminary National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 09/2021,"10,093.84","10,213.03","10,427.50","10,423.11","10,598.07","10,826.38","11,226.25","11,665.99","12,214.20","12,758.57","13,521.56","11,843.81","13,002.71","13,686.27","14,337.16","15,111.16","15,974.09","17,046.37","16,368.15","16,469.50","16,729.46","17,233.21","17,629.64","18,218.33","18,788.98","19,539.25","20,307.79","20,956.50","21,880.93","20,542.18","21,140.56",2018
Malawi,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019. Since 2011 we have used IMF staff's and Malawian authorities' combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. Rebased to 2017 from 2010 Chain-weighted: No Primary domestic currency: Malawian kwacha Data last updated: 09/2021,"2,436.72","2,258.03","2,476.88","2,221.43","2,528.65","2,780.98","2,964.17","2,995.62","3,101.70","3,125.75","2,998.35","3,051.14","3,225.22","3,400.05","3,511.19","3,676.21","4,029.13","4,336.94","4,698.13","5,021.08","5,264.81","5,364.09","5,643.02","5,964.67","6,140.63","6,280.02","6,531.22","6,818.06","7,189.52","7,255.13","7,414.74",2019
Malaysia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2020 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2021",320.87,349.383,383.957,419.324,460.542,506.606,543.727,503.715,534.598,580.951,583.958,615.44,651.066,695.226,729.82,770.576,819.115,858.696,845.697,909.361,957.498,"1,009.91","1,057.31","1,120.82","1,176.94","1,229.31","1,300.77","1,363.77","1,424.31","1,343.88","1,390.92",2020
Maldives,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Production-based measure. Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 09/2021,12.289,13.083,13.792,14.827,15.921,17.367,19.174,21.051,22.573,23.65,24.466,25.958,32.55,34.513,29.982,37.811,40.728,44.591,41.367,44.373,48.175,49.387,52.983,56.867,58.507,62.215,66.701,72.123,77.162,52.484,62.387,2020
Mali,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: National accounts have new methodology starting in 1990. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"1,580.40","1,555.71","1,611.11","1,672.37","1,722.49","1,847.90","1,936.54","1,993.19","2,117.67","2,116.39","2,441.81","2,517.66","2,747.24","2,790.10","2,972.43","3,111.01","3,219.69","3,373.38","3,531.22","3,722.39","3,843.00","3,810.87","3,898.33","4,174.51","4,432.15","4,691.54","4,940.44","5,174.94","5,421.52","5,335.27","5,550.00",2018
Malta,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.044,5.973,6.126,6.375,6.384,6.6,6.766,7.089,7.36,7.277,7.68,7.716,8.034,8.474,9.12,9.997,10.376,11.513,12.22,12.921,11.85,12.527,2020
Marshall Islands,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04. Base year is Fiscal Year 2004 (Calendar Year 2003/2004). Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,n/a,n/a,n/a,n/a,n/a,n/a,0.154,0.153,0.151,0.154,0.164,0.17,0.168,0.167,0.171,0.171,0.177,0.165,0.17,0.181,0.18,0.176,0.183,0.181,0.184,0.186,0.193,0.198,0.212,0.207,0.204,2020
Mauritania,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2014 Primary domestic currency: New Mauritanian ouguiya Data last updated: 09/2021",93.853,95.516,101.126,98.031,107.657,113.922,109.314,112.351,121.016,116.274,115.345,116.938,125.04,130.958,142.176,168.242,164.928,164.382,164.543,168.855,175.901,183.763,191.391,199.573,210.302,212.954,226.298,236.543,250.257,245.845,252.553,2018
Mauritius,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupee Data last updated: 09/2021",113.489,120.88,127.023,132.277,137.949,145.657,153.941,163.288,167.552,181.278,187.104,190.148,201.527,210.192,213.245,222.87,235.634,248.328,256.56,267.79,278.709,288.453,298.146,309.311,320.301,332.594,345.279,358.261,369.061,314.071,329.775,2020
Mexico,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2021,"9,556.30","9,894.70","10,165.57","10,667.86","9,996.72","10,673.83","11,404.65","11,993.57","12,323.82","12,932.92","12,880.62","12,875.49","13,061.72","13,573.82","13,887.07","14,511.31","14,843.83","15,013.58","14,220.00","14,947.80","15,495.33","16,059.72","16,277.19","16,741.05","17,292.36","17,747.24","18,122.26","18,520.04","18,487.34","16,951.22","18,010.09",2020
Micronesia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2017/18. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2003/04 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,n/a,n/a,n/a,n/a,0.239,0.231,0.217,0.223,0.227,0.238,0.243,0.244,0.248,0.24,0.245,0.245,0.24,0.235,0.237,0.243,0.25,0.246,0.237,0.231,0.242,0.244,0.251,0.251,0.254,0.249,0.241,2018
Moldova,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 Notes: National accounts data from 2010 onwards sourced from the latest update by the National Bureau of Statistics. National accounts data prior to 2010 have been backspliced by IMF staff. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995. The National Statistics Office is using 2010 as a base year while this submission is based on 1995. Chain-weighted: No Primary domestic currency: Moldovan leu Data last updated: 08/2021,n/a,9.629,9.513,6.574,6.48,6.097,6.195,5.792,5.595,5.713,6.061,6.534,6.965,7.481,8.042,8.428,8.681,9.358,8.796,9.421,9.969,9.91,10.807,11.347,11.308,11.807,12.362,12.893,13.371,12.439,12.998,2019
Mongolia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2020 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Mongolian tögrög Data last updated: 07/2021,"4,861.67","4,411.65","4,271.85","4,363.03","4,641.23","4,744.97","4,929.87","5,094.52","5,250.94","5,311.12","5,557.48","5,850.19","6,280.61","6,872.56","7,319.78","7,917.28","8,610.58","9,283.84","9,091.71","9,756.59","11,443.58","12,853.41","14,350.69","15,482.27","15,850.73","16,035.93","16,891.77","18,115.85","19,050.46","18,034.02","18,971.78",2020
Montenegro,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. MONSTAT Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.739,1.758,1.792,1.836,1.917,1.998,2.17,2.317,2.484,2.34,2.403,2.48,2.412,2.498,2.543,2.629,2.706,2.834,2.978,3.099,2.628,2.812,2020
